time_ms,power_w,wall_time_str
2814,55.94,04:16:07.342
2815,55.94,04:16:07.342
2816,55.94,04:16:07.342
2817,55.94,04:16:07.342
2818,55.94,04:16:07.342
2819,55.94,04:16:07.342
2820,55.94,04:16:07.342
2821,55.94,04:16:07.342
2822,55.94,04:16:07.342
2823,55.94,04:16:07.342
2824,55.94,04:16:07.342
2825,55.94,04:16:07.342
2826,55.94,04:16:07.342
2827,55.94,04:16:07.342
2828,55.94,04:16:07.342
2829,55.94,04:16:07.342
2830,55.94,04:16:07.342
2831,55.94,04:16:07.342
2832,55.94,04:16:07.342
2833,55.94,04:16:07.342
2834,55.883,04:16:07.363
2835,55.883,04:16:07.363
2836,55.883,04:16:07.363
2837,55.883,04:16:07.363
2838,55.883,04:16:07.363
2839,55.883,04:16:07.363
2840,55.883,04:16:07.363
2841,55.883,04:16:07.363
2842,55.883,04:16:07.363
2843,55.883,04:16:07.363
2844,55.883,04:16:07.363
2845,55.883,04:16:07.363
2846,55.883,04:16:07.363
2847,55.883,04:16:07.363
2848,55.883,04:16:07.363
2849,55.883,04:16:07.363
2850,55.883,04:16:07.363
2851,55.883,04:16:07.363
2852,55.883,04:16:07.363
2853,55.883,04:16:07.363
2854,55.713,04:16:07.383
2855,55.713,04:16:07.383
2856,55.713,04:16:07.383
2857,55.713,04:16:07.383
2858,55.713,04:16:07.383
2859,55.713,04:16:07.383
2860,55.713,04:16:07.383
2861,55.713,04:16:07.383
2862,55.713,04:16:07.383
2863,55.713,04:16:07.383
2864,55.713,04:16:07.383
2865,55.713,04:16:07.383
2866,55.713,04:16:07.383
2867,55.713,04:16:07.383
2868,55.713,04:16:07.383
2869,55.713,04:16:07.383
2870,55.713,04:16:07.383
2871,55.713,04:16:07.383
2872,55.713,04:16:07.383
2873,55.713,04:16:07.383
2874,55.94,04:16:07.403
2875,55.94,04:16:07.403
2876,55.94,04:16:07.403
2877,55.94,04:16:07.403
2878,55.94,04:16:07.403
2879,55.94,04:16:07.403
2880,55.94,04:16:07.403
2881,55.94,04:16:07.403
2882,55.94,04:16:07.403
2883,55.94,04:16:07.403
2884,55.94,04:16:07.403
2885,55.94,04:16:07.403
2886,55.94,04:16:07.403
2887,55.94,04:16:07.403
2888,55.94,04:16:07.403
2889,55.94,04:16:07.403
2890,55.94,04:16:07.403
2891,55.94,04:16:07.403
2892,55.94,04:16:07.403
2893,55.94,04:16:07.403
2894,55.94,04:16:07.424
2895,55.94,04:16:07.424
2896,55.94,04:16:07.424
2897,55.94,04:16:07.424
2898,55.94,04:16:07.424
2899,55.94,04:16:07.424
2900,55.94,04:16:07.424
2901,55.94,04:16:07.424
2902,55.94,04:16:07.424
2903,55.94,04:16:07.424
2904,55.94,04:16:07.424
2905,55.94,04:16:07.424
2906,55.94,04:16:07.424
2907,55.94,04:16:07.424
2908,55.94,04:16:07.424
2909,55.94,04:16:07.424
2910,55.94,04:16:07.424
2911,55.94,04:16:07.424
2912,55.94,04:16:07.424
2913,55.94,04:16:07.424
2914,55.94,04:16:07.424
2915,55.827,04:16:07.444
2916,55.827,04:16:07.444
2917,55.827,04:16:07.444
2918,55.827,04:16:07.444
2919,55.827,04:16:07.444
2920,55.827,04:16:07.444
2921,55.827,04:16:07.444
2922,55.827,04:16:07.444
2923,55.827,04:16:07.444
2924,55.827,04:16:07.444
2925,55.827,04:16:07.444
2926,55.827,04:16:07.444
2927,55.827,04:16:07.444
2928,55.827,04:16:07.444
2929,55.827,04:16:07.444
2930,55.827,04:16:07.444
2931,55.827,04:16:07.444
2932,55.827,04:16:07.444
2933,55.827,04:16:07.444
2934,55.827,04:16:07.444
2935,55.883,04:16:07.465
2936,55.883,04:16:07.465
2937,55.883,04:16:07.465
2938,55.883,04:16:07.465
2939,55.883,04:16:07.465
2940,55.883,04:16:07.465
2941,55.883,04:16:07.465
2942,55.883,04:16:07.465
2943,55.883,04:16:07.465
2944,55.883,04:16:07.465
2945,55.883,04:16:07.465
2946,55.883,04:16:07.465
2947,55.883,04:16:07.465
2948,55.883,04:16:07.465
2949,55.883,04:16:07.465
2950,55.883,04:16:07.465
2951,55.883,04:16:07.465
2952,55.883,04:16:07.465
2953,55.883,04:16:07.465
2954,55.883,04:16:07.465
2955,55.827,04:16:07.485
2956,55.827,04:16:07.485
2957,55.827,04:16:07.485
2958,55.827,04:16:07.485
2959,55.827,04:16:07.485
2960,55.827,04:16:07.485
2961,55.827,04:16:07.485
2962,55.827,04:16:07.485
2963,55.827,04:16:07.485
2964,55.827,04:16:07.485
2965,55.827,04:16:07.485
2966,55.827,04:16:07.485
2967,55.827,04:16:07.485
2968,55.827,04:16:07.485
2969,55.827,04:16:07.485
2970,55.827,04:16:07.485
2971,55.827,04:16:07.485
2972,55.827,04:16:07.485
2973,55.827,04:16:07.485
2974,55.827,04:16:07.485
2975,55.496,04:16:07.506
2976,55.496,04:16:07.506
2977,55.496,04:16:07.506
2978,55.496,04:16:07.506
2979,55.496,04:16:07.506
2980,55.496,04:16:07.506
2981,55.496,04:16:07.506
2982,55.496,04:16:07.506
2983,55.496,04:16:07.506
2984,55.496,04:16:07.506
2985,55.496,04:16:07.506
2986,55.496,04:16:07.506
2987,55.496,04:16:07.506
2988,55.496,04:16:07.506
2989,55.496,04:16:07.506
2990,55.496,04:16:07.506
2991,55.496,04:16:07.506
2992,55.496,04:16:07.506
2993,55.496,04:16:07.506
2994,55.496,04:16:07.506
2995,55.883,04:16:07.526
2996,55.883,04:16:07.526
2997,55.883,04:16:07.526
2998,55.883,04:16:07.526
2999,55.883,04:16:07.526
3000,55.883,04:16:07.526
3001,55.883,04:16:07.526
3002,55.883,04:16:07.526
3003,55.883,04:16:07.526
3004,55.883,04:16:07.526
3005,55.883,04:16:07.526
3006,55.883,04:16:07.526
3007,55.883,04:16:07.526
3008,55.883,04:16:07.526
3009,55.883,04:16:07.526
3010,55.883,04:16:07.526
3011,55.883,04:16:07.526
3012,55.883,04:16:07.526
3013,55.883,04:16:07.526
3014,55.883,04:16:07.526
3015,55.827,04:16:07.526
3016,55.827,04:16:07.526
3017,55.827,04:16:07.526
3018,55.827,04:16:07.526
3019,55.827,04:16:07.526
3020,55.827,04:16:07.526
3021,55.827,04:16:07.526
3022,55.827,04:16:07.526
3023,55.827,04:16:07.526
3024,55.827,04:16:07.526
3025,55.827,04:16:07.526
3026,55.827,04:16:07.526
3027,55.827,04:16:07.526
3028,55.827,04:16:07.526
3029,55.827,04:16:07.526
3030,55.827,04:16:07.526
3031,55.827,04:16:07.526
3032,55.827,04:16:07.526
3033,55.827,04:16:07.526
3034,55.827,04:16:07.526
3035,55.553,04:16:07.547
3036,55.553,04:16:07.547
3037,55.553,04:16:07.547
3038,55.553,04:16:07.547
3039,55.553,04:16:07.547
3040,55.553,04:16:07.547
3041,55.553,04:16:07.547
3042,55.553,04:16:07.547
3043,55.553,04:16:07.547
3044,55.553,04:16:07.547
3045,55.553,04:16:07.547
3046,55.553,04:16:07.547
3047,55.553,04:16:07.547
3048,55.553,04:16:07.547
3049,55.553,04:16:07.547
3050,55.553,04:16:07.547
3051,55.553,04:16:07.547
3052,55.553,04:16:07.547
3053,55.553,04:16:07.547
3054,55.553,04:16:07.547
3055,55.827,04:16:07.567
3056,55.827,04:16:07.567
3057,55.827,04:16:07.567
3058,55.827,04:16:07.567
3059,55.827,04:16:07.567
3060,55.827,04:16:07.567
3061,55.827,04:16:07.567
3062,55.827,04:16:07.567
3063,55.827,04:16:07.567
3064,55.827,04:16:07.567
3065,55.827,04:16:07.567
3066,55.827,04:16:07.567
3067,55.827,04:16:07.567
3068,55.827,04:16:07.567
3069,55.827,04:16:07.567
3070,55.827,04:16:07.567
3071,55.827,04:16:07.567
3072,55.827,04:16:07.567
3073,55.827,04:16:07.567
3074,55.827,04:16:07.567
3075,55.883,04:16:07.588
3076,55.883,04:16:07.588
3077,55.883,04:16:07.588
3078,55.883,04:16:07.588
3079,55.883,04:16:07.588
3080,55.883,04:16:07.588
3081,55.883,04:16:07.588
3082,55.883,04:16:07.588
3083,55.883,04:16:07.588
3084,55.883,04:16:07.588
3085,55.883,04:16:07.588
3086,55.883,04:16:07.588
3087,55.883,04:16:07.588
3088,55.883,04:16:07.588
3089,55.883,04:16:07.588
3090,55.883,04:16:07.588
3091,55.883,04:16:07.588
3092,55.883,04:16:07.588
3093,55.883,04:16:07.588
3094,55.883,04:16:07.588
3095,55.77,04:16:07.608
3096,55.77,04:16:07.608
3097,55.77,04:16:07.608
3098,55.77,04:16:07.608
3099,55.77,04:16:07.608
3100,55.77,04:16:07.608
3101,55.77,04:16:07.608
3102,55.77,04:16:07.608
3103,55.77,04:16:07.608
3104,55.77,04:16:07.608
3105,55.77,04:16:07.608
3106,55.77,04:16:07.608
3107,55.77,04:16:07.608
3108,55.77,04:16:07.608
3109,55.77,04:16:07.608
3110,55.77,04:16:07.608
3111,55.77,04:16:07.608
3112,55.77,04:16:07.608
3113,55.77,04:16:07.608
3114,55.77,04:16:07.608
3115,55.827,04:16:07.629
3116,55.827,04:16:07.629
3117,55.827,04:16:07.629
3118,55.827,04:16:07.629
3119,55.827,04:16:07.629
3120,55.827,04:16:07.629
3121,55.827,04:16:07.629
3122,55.827,04:16:07.629
3123,55.827,04:16:07.629
3124,55.827,04:16:07.629
3125,55.827,04:16:07.629
3126,55.827,04:16:07.629
3127,55.827,04:16:07.629
3128,55.827,04:16:07.629
3129,55.827,04:16:07.629
3130,55.827,04:16:07.629
3131,55.827,04:16:07.629
3132,55.827,04:16:07.629
3133,55.827,04:16:07.629
3134,55.827,04:16:07.629
3135,55.77,04:16:07.649
3136,55.77,04:16:07.649
3137,55.77,04:16:07.649
3138,55.77,04:16:07.649
3139,55.77,04:16:07.649
3140,55.77,04:16:07.649
3141,55.77,04:16:07.649
3142,55.77,04:16:07.649
3143,55.77,04:16:07.649
3144,55.77,04:16:07.649
3145,55.77,04:16:07.649
3146,55.77,04:16:07.649
3147,55.77,04:16:07.649
3148,55.77,04:16:07.649
3149,55.77,04:16:07.649
3150,55.77,04:16:07.649
3151,55.77,04:16:07.649
3152,55.77,04:16:07.649
3153,55.77,04:16:07.649
3154,55.77,04:16:07.649
3155,55.77,04:16:07.649
3156,55.827,04:16:07.670
3157,55.827,04:16:07.670
3158,55.827,04:16:07.670
3159,55.827,04:16:07.670
3160,55.827,04:16:07.670
3161,55.827,04:16:07.670
3162,55.827,04:16:07.670
3163,55.827,04:16:07.670
3164,55.827,04:16:07.670
3165,55.827,04:16:07.670
3166,55.827,04:16:07.670
3167,55.827,04:16:07.670
3168,55.827,04:16:07.670
3169,55.827,04:16:07.670
3170,55.827,04:16:07.670
3171,55.827,04:16:07.670
3172,55.827,04:16:07.670
3173,55.827,04:16:07.670
3174,55.827,04:16:07.670
3175,55.827,04:16:07.670
3176,55.883,04:16:07.690
3177,55.883,04:16:07.690
3178,55.883,04:16:07.690
3179,55.883,04:16:07.690
3180,55.883,04:16:07.690
3181,55.883,04:16:07.690
3182,55.883,04:16:07.690
3183,55.883,04:16:07.690
3184,55.883,04:16:07.690
3185,55.883,04:16:07.690
3186,55.883,04:16:07.690
3187,55.883,04:16:07.690
3188,55.883,04:16:07.690
3189,55.883,04:16:07.690
3190,55.883,04:16:07.690
3191,55.883,04:16:07.690
3192,55.883,04:16:07.690
3193,55.883,04:16:07.690
3194,55.883,04:16:07.690
3195,55.883,04:16:07.690
3196,55.827,04:16:07.711
3197,55.827,04:16:07.711
